collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
METOP_IASIL1C_ALL,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_IASSND02,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_IASTHR011,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_LSA_002,METOP,L3,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_MHSL1,METOP,L1,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_OSI_104,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_OSI_150A,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_OSI_150B,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_SOMO12,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
METOP_SOMO25,METOP,L2,,,,,,,,,available,,,,,,available,,,,,,,,,,,,,
MFG_GSA_57,MFG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MFG_GSA_63,MFG,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
MODIS_MCD43A4,Terra+Aqua,L3,available,,,,,,,,,,,,,,,,,,,,,available,,,,,,
MO_GLOBAL_ANALYSISFORECAST_BGC_001_028,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_GLOBAL_ANALYSISFORECAST_PHY_001_024,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_GLOBAL_ANALYSISFORECAST_WAV_001_027,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_GLOBAL_MULTIYEAR_BGC_001_033,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_GLOBAL_MULTIYEAR_PHY_ENS_001_031,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_GLOBAL_MULTIYEAR_WAV_001_032,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_INSITU_GLO_PHY_TS_OA_MY_013_052,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_INSITU_GLO_PHY_TS_OA_NRT_013_002,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_INSITU_GLO_PHY_UV_DISCRETE_NRT_013_048,,Level 2,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_BGC_NUTRIENTS_CARBON_PROFILES_MYNRT_015_009,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_BIO_BGC_3D_REP_015_010,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_BIO_CARBON_SURFACE_MYNRT_015_008,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_PHY_MYNRT_015_003,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_PHY_S_SURFACE_MYNRT_015_013,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_PHY_TSUV_3D_MYNRT_015_012,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_MULTIOBS_GLO_PHY_W_3D_REP_015_007,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L3_MY_009_103,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L3_MY_009_107,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L3_NRT_009_101,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L4_MY_009_104,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L4_MY_009_108,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_OCEANCOLOUR_GLO_BGC_L4_NRT_009_102,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SEAICE_GLO_SEAICE_L4_NRT_OBSERVATIONS_011_001,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SEAICE_GLO_SEAICE_L4_NRT_OBSERVATIONS_011_006,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SEAICE_GLO_SEAICE_L4_REP_OBSERVATIONS_011_009,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SEALEVEL_GLO_PHY_L4_NRT_008_046,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SEALEVEL_GLO_PHY_MDT_008_063,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SST_GLO_SST_L3S_NRT_OBSERVATIONS_010_010,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SST_GLO_SST_L4_REP_OBSERVATIONS_010_011,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_SST_GLO_SST_L4_REP_OBSERVATIONS_010_024,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WAVE_GLO_PHY_SPC_FWK_L3_NRT_014_002,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WAVE_GLO_PHY_SWH_L3_NRT_014_001,,Level 3,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WAVE_GLO_PHY_SWH_L4_NRT_014_003,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
MO_WIND_GLO_PHY_CLIMATE_L4_MY_012_003,,L4,,,,,,available,,,available,,,,,,,,,,,,,,,,,,,
